A-in,B-in,A-out,B-out
6.731165542,10.86514736,10.15487597,12.27828527
7.669253338,9.662259858,9.238567054,11.91351232
6.684635186,9.468001029,10.51007529,11.82746829
6.361256876,11.0363533,9.611304076,12.01055432
4.988578885,8.011119268,9.959371227,10.97053091
4.924311777,7.597187554,9.707835639,11.60383667
7.282927889,7.517560131,9.805271687,8.174199859
5.685093048,10.34212403,10.85243358,7.645012902
2.738141194,10.27998732,9.029456106,8.18509669
6.208897595,9.813117952,8.857323246,9.398910525
6.454638082,5.868778215,8.630765668,9.78849068
5.111393045,11.26730922,7.872907236,8.407775324
4.787499128,10.14486402,10.5793221,8.660318364
6.829553607,9.987875397,9.609582488,11.42348111
3.843400114,11.12112729,10.05314027,10.35708093
5.972067309,5.506636138,9.863095594,10.29647869
6.351915461,7.922454516,9.946197864,11.18790315
7.620262023,7.539035484,9.922023469,10.70799746
5.457537287,7.608438098,8.951163067,9.650066476
8.367442411,10.29757869,9.399883477,9.808872737
8.595081768,10.21697064,9.270206857,9.682129252
9.613346533,9.806030121,8.62901541,8.662430156
8.501783499,5.973436504,10.2436475,9.749414112
7.601407103,11.1292807,9.919851274,9.292708642
9.282707393,9.948747372,10.47019152,8.614239202
9.252525225,9.944874267,10.03507031,9.134923703
7.690178791,10.99061916,10.03212802,8.086653508
8.590970947,5.410766319,9.581302833,8.858437048
9.022755594,2.622386641,7.919132511,7.120606959
9.297661744,7.902020127,5.844806893,9.679811308
8.805360622,7.837877391,5.748250186,11.1115285
9.291169261,7.780055176,6.835792106,10.9801996
8.88275878,10.38595827,9.501458161,10.81559192
8.228534263,10.27712335,8.403217997,10.58448577
8.832130893,9.551579207,9.783798059,11.22721662
8.879377537,6.108598386,8.906519306,10.55312717
9.909634782,11.1771446,8.69763194,10.64053519
6.910635941,9.939176454,8.966626523,10.51666324
6.915532883,9.830624848,9.373451703,9.440417865
6.788228208,11.05369583,7.875476345,10.28119823
7.046138892,5.375228416,7.541674675,9.386050065
7.583348385,3.504205477,9.185791132,8.944221822
7.60063244,3.724055722,8.44976749,9.432523024
3.54060892,7.771383276,7.231179951,9.393493319
6.645937458,7.252807976,9.46413504,8.142895123
8.826237984,6.991424529,8.202541604,9.42927723
7.203935983,10.2915587,8.079231712,10.19447272
7.042135128,10.52437737,9.899548971,11.74782693
7.100148931,9.343413804,7.413081483,11.06217574
7.416441094,5.573629996,7.497303515,10.43399574
8.6563648,12.21723292,7.730543801,10.76810269
8.393378621,11.39123668,8.40784937,10.76940479
8.16615095,11.06544784,7.717968685,10.71467821
6.253305383,11.02138343,5.365310922,10.83694988
6.419360074,7.706677391,7.930441899,10.91129642
